ime;pivovarna;vrsta;velikost;stopnja_alkohola;drzava;cena;opis
Saltaire Hazelnut Coffee Porter;Saltaire;Coffee / Chocolate / Honey Beer;0.5;4.6;England;;This hazelnut flavoured English Porter is made with coffee and German malts and hops.
Schneider Weisse Original;Schneider Weisse;Wheat Beer;0.5;5.4;Germany;3.0;Founded by Georg Schneider in 1872, the Bavarian brewing company is still in the hands of his descendants, producing classic wheat beer.
Veltins Pilsener;Brauerei C. & A. Veltins;Lager / Pilsner Beer;0.5;4.8;Germany;;Classic German Pilsener from Meschede-Grevenstein made with natural mountain spring water.
Wild Beer Wild Goose Chase;The Wild Beer Co;Fruit Beer;0.33;4.5;England;;Named after the fact that this was a much more difficult beer to create than was initially anticipated, Wild Goose Chase in Wild Beer's tart, fruity, well hopped any-time-of-beer par excellence.
Wild Beer Epic Saison;The Wild Beer Co;Saison Beer;0.33;5.0;England;2.6;A Belgian-style farmhouse ale made with American Sorachi Ace in the West Country!
Wild Beer Madness IPA;The Wild Beer Co;IPA (India Pale Ale) Beer;0.33;6.8;England;;Wild Beer's West Country take on a West Coast IPA! Made with lots of late hops and dry hopping. They recommend pairing with some top class cheddar from their neighbours at Westcombe Dairy.
Wild Beer Millionaire;The Wild Beer Co;Coffee / Chocolate / Honey Beer;0.33;4.7;England;3.5;Like beers from Wild Beer Co.? (They're pretty ace, right?) Like salted caramel? (Duh, it's like, the best thing. Obviously.
Wild Beer Fresh Can;The Wild Beer Co;APA (American Pale Ale) Beer;0.33;5.5;England;;A Pale Ale from Wild Beer made with hops from the northern and southern hemispheres.
Wild Beer Ninkasi;The Wild Beer Co;Saison Beer;0.75;9.0;England;10.52;A beer with a great name, Ninkasi being the goddess of beer from Ancient Mesopotamia or Sumer dating back to the first ever recorded recipe (which was obviously for delicious beer) almost four
Williams Brothers Joker IPA;Williams Bros Brewing Company;IPA (India Pale Ale) Beer;0.5;5.0;Scotland;;A Wickedly Hoppy IPA from Williams Brothers to bring a smile to you face.
Williams Brothers Midnight Sun;Williams Bros Brewing Company;Porter Beer;0.5;5.6;Scotland;;A Porter made with malted barley, oats, roast barley, chocolate malt, a bunch of hops and fresh root ginger!
Williams Bros Birds & Bees;Williams Bros Brewing Company;Blonde Beer;0.5;4.3;Scotland;;A summer ale made with lager malt, hops and elderflower, perfect for early evenings with the sun still in the sky.
Williams Brothers Seven Giraffes;Williams Bros Brewing Company;IPA (India Pale Ale) Beer;0.5;5.1;Scotland;;Seven Giraffes is an IPA made with 7 grains (Ale Malt, Lager Malt, Malted Wheat, Vienna Malt, Munich Malt, Pale Rye, Pale Crystal), 3 hop varieties, elderflower and lemon.
Yeastie Boys Gunnamatta Earl Grey IPA;Yeastie Boys;IPA (India Pale Ale) Beer;0.33;6.5;New Zealand;;The Yeastie Boys. Is there a better name for a brewing company? (The answer is no. No, there isn't.) So, what'cha what'cha what'cha want? What'cha want? How about an award-winning Earl Grey IPA?
Yeastie Boys Pot Kettle Black;Yeastie Boys;Porter Beer;0.33;6.0;New Zealand;3.3;Celebrated Porter from New Zealand, it's the award-winning Yeastie Boys Pot Kettle Black. So believe when I say they're no better than you, except when they brew so I guess it ain't true...
Wild Beer Bibble;The Wild Beer Co;APA (American Pale Ale) Beer;0.33;4.2;England;;'Bibble', we are told, means to drink regularly in Somerset. Wild Beer Co. therefore decided this was the perfect name for this unfined 'everyday' beer!
Wild Beer Fresh;The Wild Beer Co;Pale Ale Beer;0.33;5.5;England;;A can of Wild Beer's Pale Ale made every six months using the different available hops from different harvests from both the northern and southern hemispheres.
Wild Beer Madness;The Wild Beer Co;IPA (India Pale Ale) Beer;0.33;6.8;England;;A can of Wild Beer's West Coast IPA made in the West Country with plenty of hops (added late plus dry hopping).
Roosters Fort Smith;Roosters;APA (American Pale Ale) Beer;0.33;5.0;England;;An American-style Pale from Yorkshire, named after the town in which Rooster Cogburn lived. They say he has grit. I wanted a man with grit.
Roosters Baby-Faced Assassin;Roosters;IPA (India Pale Ale) Beer;0.33;6.1;England;;A deceptively drinkable India Pale Ala from Rooster's made with just one hop variety: Citra!
Bedlam Golden Ale;Bedlam Brewery;Pale Ale Beer;0.33;4.2;England;;A light, fruity golden ale made with some roasted barley for body and hops which have plenty of influence without dominating.
Bedlam Benchmark;Bedlam Brewery;Bitter Beer;0.33;4.0;England;;Bedlam Brewery's take on a Best ale, and very good it is too!
Bedlam Porter;Bedlam Brewery;Porter Beer;0.33;5.0;England;;Pale, Crystal, Brown and Chocolate malts are used to produce this Porter, with subtle hop influence.
Bedlam Pilsner;Bedlam Brewery;Lager / Pilsner Beer;0.33;4.2;England;;A Pilsner lager from Bedlam Brewery, near Brighton, made with a selection of hops including classic Saaz.
Wiper and True Hard Shake Milk Stout 50cl;Wiper and True;Stout Beer;0.5;6.1;England;;A 'bigger' version of Wiper and True's Milk Shake Milk Stout, made with chocolate malts and vanilla. This is the larger 50cl bottling.
Wylam Brewery Jakehead IPA;Wylam Brewery;IPA (India Pale Ale) Beer;0.33;6.3;England;;An IPA supercharged with American hops at Wylam Brewery in Northumberland.
By The Horns Wolfie Smith Urban Guerilla IPA;By The Horns Brewing Co.;IPA (India Pale Ale) Beer;0.33;5.2;England;;Wolfie Smith is a well-hopped Amber Ale from London's By The Horns Brewing Co. Cracking label on this one...
By The Horns Stiff Upper Lip Pale Ale;By The Horns Brewing Co.;Pale Ale Beer;0.33;3.8;England;;A sessionable Pale Ale from the By The Horns Brewing Co. in London - yes, that might be one of our favourite named, too.
Bad Seed Brewery Saison;Bad Seed Brewery;Saison Beer;0.33;6.0;England;;Superb Saison for the summer months here from the Bad Seed Brewery in North Yorkshire. Made using honey, ginger and grains of paradise to give its flavour profile some handsome additions.
Bad Seed Brewery IPA;Bad Seed Brewery;IPA (India Pale Ale) Beer;0.33;7.0;England;;From North Yorkshire's Bad Seed Brewery comes their rather wonderful IPA, packed full of Chinook, Cascade and Columbus hops. Bad Seed, good beer.
The Park Brewery Spankers IPA;The Park Brewery;IPA (India Pale Ale) Beer;0.33;6.0;England;;From Kingston-Upon-Thames based Park Brewery comes their Spankers IPA, named after Spankers Hill Wood. Yep. Dry-hopped and dee-lish!
360° Brewing Project Gemini v1.0;360 Brewing Company;Pale Ale Beer;0.33;4.3;England;;From the 360° Brewing chaps in Uckfield, comes the Gemini Project twin-hop session Pale Ale, which is made using hop pairing which change with each batch.
TicketyBrew Coffee Anise Porter;TicketyBrew;Porter Beer;0.33;5.1;England;;A rich, decadent Porter from the Stalybridge based brewers, Tickeybrew. Combines the dark malts of a Porter along with coffee as well as anise - which is rather interesting indeed...
TicketyBrew Dubbel;TicketyBrew;Dubbel Beer;0.33;6.5;England;;One of the first beers brewed by the TicketyBrew team in Stalybridge - A Belgian-Trappist-style Dubbel!
TicketyBrew Münchner;TicketyBrew;Lager / Pilsner Beer;0.33;4.5;England;;A traditional style of German beer, made by the TicketyBrew folks in Stalybridge!
TicketyBrew Pale Ale;TicketyBrew;APA (American Pale Ale) Beer;0.33;5.5;England;;This is TicketyBrew's Pale Ale, produced in Stalybridge using American hops and Belgian yeast.
TicketyBrew Stout;TicketyBrew;Stout Beer;0.33;5.4;England;;From the TicketyBrew team in Stalybridge comes a rather yummy Stout, made with their Belgian yeast.
TicketyBrew Tripel;TicketyBrew;Tripel Beer;0.33;8.2;England;;This is TicketyBrew's Tripel beer, to compliment their lovely Dubbel! Ace Trappist-style deliciousness...
Arbor Argy Bargy;Steel City Brewing;Barley Wine Beer;0.33;10.4;England;9.28;Argy Bargy is a collaborative Barleywine made by Arbor Ales from Bristol, Steel City Brewing from Sheffield and Hopcraft Brewing from Pontyclun.
Arbor Monsoon Saison;Arbor Ales;Saison Beer;0.57;6.4;England;;From the Arbor Ales folks in Bristol comes their tasty Monsoon Saison (top marks for the wordplay, team!).
Arbor Oz Bomb;Arbor Ales;Pale Ale Beer;0.57;4.7;England;;Oz Bomb is an Australian-styled Pale Ale from the Arbor brewers in Bristol. They've used Australian Galaxy and Vic Secret hops for this on, in generous measures.
Arbor The Devil Made Me Brew It;Arbor Ales;Stout Beer;0.57;5.5;England;4.55;A dry-hopped Stout from Bristol-based brewers, Arbor! This is made with Bramling Cross hops, and is dry-hopped with Citra, Simcoe, Bravo and Mosaic hops too.
Fourpure Northern Latitude;Fourpure Brewing Co.;Winter / Christmas Ale Beer;0.33;6.4;England;2.8;Fourpure's Northern Latitude is a wonderful winter treat - a red rye ale which has been brewed with brown sugar!
Fourpure Southern Latitude;Fourpure Brewing Co.;APA (American Pale Ale) Beer;0.33;4.7;England;;Southern Latitude one half of a duo from Fourpure Brewing Co. in London (can you guess what the other half is?
Birrificio Italiano Cassissona;Thornbridge Brewery;Fruit Beer;0.75;6.4;England;;An Italian fruit beer from Birrificio, brewed with blackcurrants to give it a sweet, juicy personality.
Big Hug Hibernation White IPA;Big Hug Brewing;IPA (India Pale Ale) Beer;0.33;5.2;England;;Big Hug Brewing are a wonderful bunch based in London who do their brewing at other breweries, armed with their own ace recipes.
Mad Hatter Cherry Scotch Ale;Mad Hatter;Fruit Beer;0.33;8.5;England;;Sweet, fruity Scotch ale from the Mad Hatter Brewing Company in Liverpool. Loads of yummy sweetness to it, with a touch of sour cherry hiding in there...
Mad Hatter Down The Rabbit Hole;Mad Hatter;Red Ale Beer;0.33;8.4;England;;A big-bodied red ale from Liverpool's Mad Hatter Brewing Co., made with a bustling bounty of hops and bottle at a rather robust 8.4% ABV.
Mad Hatter Mild Life Crisis;Mad Hatter;Mild Beer;0.33;6.8;England;;Mild Life Crisis is a rather delicious Mild from the folks at Mad Hatter Brewing Co. in Liverpool, brewed in celebration of their Head Brewer Gaz Matthews' 40th birthday!
Mad Hatter Salted Caramel Quadrupel;Mad Hatter;Quadrupel Beer;0.33;10.4;England;;You know how salted caramel anything is pretty much always delicious? Well, here we has Mad Hatter Brewing Co.'s Salted Caramel Quadrupel.
Mad Hatter Soleil De Glace;Mad Hatter;IPA (India Pale Ale) Beer;0.33;9.5;England;;Soleil De Glace is a well-hopped Double IPA from the Mad Hatter Brewing Co. in Liverpool. Huge hop influence with this one - dee-lish!
Mad Hatter Stocky Stout;Mad Hatter;Stout Beer;0.33;5.3;England;;Mad Hatter's Stocky Stout is something of a reference to the days of 'stock ale'. Dark, roast-y and just generally yummy.
Mad Hatter Wapping Mad;Mad Hatter;Pale Ale Beer;0.33;5.5;England;;A light, somewhat creamy amber ale from Liverpool's excellent Mad Hatter Brewing Co., who not only have tasty beers but some really rather wonderful labels too.
Mad Hatter Double Nightmare on Bold Street;Mad Hatter;Stout Beer;0.33;9.5;England;;From Liverpool's Mad Hatter Brewing Company, based in Liverpool's Baltic Triangle, comes the Double Nightmare!
Northern Monk Northern Industry;Northern Monk Brew Co.;Dark Ale Beer;0.66;6.9;England;;A collaborative dark ale from the Northern Monk Brewing Co. in Leeds. However, they've not collaborated with another brewery - they've collaborated with a local record label!
Summer Wine The Kiwi;Summer Wine;IPA (India Pale Ale) Beer;0.33;6.5;England;;The Kiwi is an IPA from the Summer Wine Brewing team made with a pair of New Zealand hops - a bright, juicy and delicious beer (all adjectives which could be shared with the wonderful kiwi fruit!).
Summer Wine Oregon West Coast Pale Ale;Summer Wine;APA (American Pale Ale) Beer;0.33;5.5;England;;Summer Wine Brewery's Oregon West Coast Pale Ale shows off the gloriousness of the Cascade hop!
Summer Wine Brewing Sabertooth IPA;Summer Wine;IPA (India Pale Ale) Beer;0.33;6.9;England;;The Summer Wine Brewery's Sabertooth IPA has come roaring into Mom Towers! Made with Summit and Columbus hops, this is ready to pounce with hoppy goodness, joined by a hint of malt on the tail.
Tuatara Solstice 2015 Tribute;Tuatara;Saison Beer;0.33;5.2;New Zealand;;A Spiced Saison in celebration of the Solstice! This intriguing tipple comes from the Tuatara Brewery in New Zealand, and has been brewed with ginger and Kaffir lime leaves.
Wild Beer The Blend Summer 2015;The Wild Beer Co;Sour / Lambic Beer;0.75;4.7;England;;The Blend Summer from Somerset's Wild Beer Co. is a interesting blend of a bunch of different cask-aged sour beers, including some barrels from their first ever sour brew!
Wild Beer Modus Operandi;The Wild Beer Co;Cask Aged Beer;0.33;7.0;England;;A gloriously rich wild yeast beer from the Wild Beer Co. in Somerset. Named Modus Operandi, this does somewhat encapsulate a big part of what the brewers do - make some cracking wild beers!
Wild Beer Shnoodlepip 2015;The Wild Beer Co;Fruit Beer;0.33;6.5;England;;Shnoodlepip is the incredibly enjoyable to pronounce collaboration between the Wild beer Co., Good George Beer's Kelly Ryan and Burning Sky Brewery's Mark Tranter.
Wild Beer The Blend - Winter 2015 (Beyond Modus II);The Wild Beer Co;Sour / Lambic Beer;0.75;6.0;England;;This winter treat from the Wild Beer Co. in Somerset is based around a vintage barrel of their Modus Operandi wild yeast beer, though the blend itself is much richer and darker than before...
Wild Beer III;The Wild Beer Co;Barley Wine Beer;0.33;9.0;England;;A juicy, sweet barley wine from the Wild Beer Co. in Somerset, packed to the brim of fruity deliciousness.
Wild Beer Witness;The Wild Beer Co;Pale Ale Beer;0.33;5.8;England;;The Wild Beer Co.'s Witness is a Belgian-style Brett pale ale inspired by the beers of the Trappist monasteries. Ought to cellar well...
Wild Beer Wildebeest;The Wild Beer Co;Stout Beer;0.33;11.0;England;;From Somerset's Wild Beer Co. comes the Wildebeest!
Renaissance Grandmaster IPA;Renaissance Brewing Company;IPA (India Pale Ale) Beer;0.5;8.5;New Zealand;;A fresh-hop Double IPA here from New Zealand's Renaissance Brewery.
Renaissance Boom! Double IPA;Renaissance Brewing Company;IPA (India Pale Ale) Beer;0.33;8.3;New Zealand;;Boom! is a delicious Double IPA from the Renaissance Brewery in New Zealand. Big ol' blasts of hoppy goodness are the star of the show with the brew.
Renaissance Collision Course;Renaissance Brewing Company;Lager / Pilsner Beer;0.33;6.2;New Zealand;;Collision Course is made by the Renaissance Brewery in New Zealand in a very similar way to an IPA, except that they use lager yeast and they lager it - y'know, like they would a lager!
Renaissance Voyager;Renaissance Brewing Company;IPA (India Pale Ale) Beer;0.33;6.0;New Zealand;;From New Zealand-based brewery Renaissance comes the Voyager IPA, made with a combination of Riwaka and Fuggles hops.
Renaissance Fresh Hop Black The RIPA;Renaissance Brewing Company;Rye Beer;0.5;6.6;New Zealand;;From the Renaissance Brewery's Enlightenment range comes Black the RIPA, a Black Rye IPA. Get it? Clever.
Three Boys Pils;Three Boys;Lager / Pilsner Beer;0.33;5.5;New Zealand;;A Pilsner from New Zealand, made with aromatic Kiwi Saaz hops!
Burning Sky Saison à la Provision;Burning Sky;Saison Beer;0.33;6.5;England;4.24;For their Saison a la Provision, Burning Sky use Saison yeast for the primary fermentation and use Lactobacillus and Brettanomyces for a secondary fermentation.
Burning Sky Cuvée 2016;Burning Sky;Saison Beer;0.75;6.5;England;11.56;Somewhere between a creamy Saison and a classic Belgian Lambic lies the Burning Sky Cuvée - tasty stuff from the Firle-based brewers. They use beer from their Foudre no.
Bad Co. Wild Gravity;Bad Co.;IPA (India Pale Ale) Beer;0.33;5.2;England;;Hugely fruity IPA from Bad Co. - loads of tropical, hoppy, zesty, yummy goodness to be had here.
Bad Co. Love Over Gold;Bad Co.;Blonde Beer;0.33;4.1;England;;A mellow, creamy, great-for-the-summer Blonde ale from Bad Co. in the north of England.
Bad Co. Dazed & Confused;Bad Co.;Stout Beer;0.33;5.5;England;;Dazed & Confused is Bad Co.'s tasty Milk Stout, packed with bountiful notes of fruit, coffee, chocolate and (of course) milk.
Bad Co. Comfortably Numb;Bad Co.;Pale Ale Beer;0.33;3.8;England;;A tasty treat from Bad Co. in the north of England - a particularly hop-packed golden ale, this one! No prizes for knowing what band has a song with the same name as this beer.
Yeastie Boys xeRRex;Yeastie Boys;Smoked Beer;0.33;10.0;New Zealand;;xeRRex from the Yeastie Boys is an imperial strength bottling of their Rex Attitude heavily-peated ale - yes, you read that right!
Yeastie Boys Digital IPA;Yeastie Boys;IPA (India Pale Ale) Beer;0.33;5.7;New Zealand;3.3;A new world twist on the classic IPA by the Yeastie Boys, made with Motueka, Nelson Sauvin and Southern Cross hops - it's also dry-hopped.
Yeastie Boys Cloudbuster;Yeastie Boys;Saison Beer;0.33;5.8;New Zealand;;Gloriously refreshing Saison from New Zealand's Yeastie Boys, perfect for sunny afternoons...
Yeastie Boys Stairdancer;Yeastie Boys;Pale Ale Beer;0.33;4.4;New Zealand;;A very laid-back Pale Ale from the Yeastie Boys selection, made with a combination of golden malts and tasty hops including Pacifica, Nelson Sauvin and Southern Cross.
8 Wired Batch 2.18;8 Wired Brewing Co.;Cask-Aged Beer;0.33;11.0;New Zealand;;To celebrate their 18th batch in their Warkworth brewery, New Zealand's 8 Wired Brewing Co. produced Batch 2.
8 Wired Sour Side Of The Moon;8 Wired Brewing Co.;Cask-Aged Beer;0.5;7.5;New Zealand;;8 Wired call their Sour Side of the Moon a 'Flanders Black Ale', and it has been aged in Pinot Noir barrels. Not something you see every day, is it?
8 Wired Wireless Black IPA;8 Wired Brewing Co.;IPA (India Pale Ale) Beer;0.5;6.2;New Zealand;;A 100% Brett Black IPA from the 8 Wired Brewing Co. in New Zealand. A rather uncommon combination of styles - very interesting indeed.
8 Wired Tall Poppy;8 Wired Brewing Co.;Red Ale Beer;0.33;7.0;New Zealand;;A very impressive red ale from the 8 Wired Brewing Co. in New Zealand, featuring Amarillo, Simcoe, Columbus and Warrior hops bringing bundles of bittersweet goodness.
Tuatara Sauvinova;Tuatara;Pale Ale Beer;0.33;5.2;New Zealand;;A single hop Pale Ale from New Zealand's Tuatara - Sauvinova is focussed around the exciting, fascinating flavours of the Nelson Sauvin hop.
Tuatara Outrigger;Tuatara;Pale Ale Beer;0.33;4.5;New Zealand;;A refreshing South Pacific Pale Ale from New Zealand-based brewers, Tuatara. Made with a whole host of hops, resulting in oodles of fresh citrus, mango and vanilla biscuit notes.
Tuatara Black Mojo Espresso Stout;Tuatara;Stout Beer;0.5;6.5;New Zealand;;A collaborative Espresso Stout, made by New Zealand's Tuatara and Mojo Coffee.
Magic Rock Rapture;Magic Rock Brewing;Red Ale Beer;0.33;4.6;England;2.5;Superb Amber Ale from Magic Rock Brewing in Huddersfield, combining 5 different malts and 6 hops.
Magic Rock Dark Arts;Magic Rock Brewing;Stout Beer;0.33;6.0;England;2.8;A particularly excellent Stout here from Magic Rock Brewing in Huddersfield, made with a combination of four malts and plenty of hops - meaning the classic coffee and chocolate notes shine, with
Wild Beer Somerset Wild;The Wild Beer Co;Sour / Lambic Beer;0.33;5.0;England;;While Somerset might be more well-known for its cider (as our Sam will only be too keen to tell you), the Wild Beer Co.
Wild Beer Sleeping Lemons;The Wild Beer Co;Gose Beer;0.33;3.6;England;3.1;Sleeping Lemons is the Wild Beer Co.'s intriguing Gose beer, which has been brewed with lemon that were preserved in salt and lemon juice, making for a great combination of savoury and sourness.
Wild Beer Sourdough;The Wild Beer Co;Sour / Lambic Beer;0.33;3.6;England;;A German Weisee-style beer from the the South West's Wild Beer Co., made with a 58 year old sourdough yeast! Intense stuff!
Thornbridge Jaipur;Thornbridge Brewery;IPA (India Pale Ale) Beer;0.33;5.9;England;3.56;A rather classically style IPA from the Thornbridge Brewery in Derbyshire.
Thornbridge Tart Bakewell Sour;Thornbridge Brewery;Sour / Lambic Beer;0.5;6.0;England;4.28;A Bakewell Sour from the Thornbridge Brewery, made in collaboration with the Wild Beer Co. in the South West!
Thornbridge Rhubarbe De Saison;Thornbridge Brewery;Saison Beer;0.5;5.0;England;4.28;Superb Saison, complimented with tart sparks of rhubarb! A fantastic beer for the warmer months from the Thornbridge Brewery.
Thornbridge I Love You Will You Marry Me;Thornbridge Brewery;Fruit Beer;0.5;4.5;England;4.08;Aww. Thornbridge Brewery's I Love You Will You Marry Me is a Belgian style Blonde ale which has been matured with a generous helping of strawberries! Great for the summer!
Thornbridge Eldon Stout;Thornbridge Brewery;Stout Beer;0.33;8.0;England;3.21;The Thornbridge Brewery's Eldon is a pretty fantastic Imperial Stout which has been brewed with Demerara sugar, and also features notes of bourbon-soaked oak.
Thornbridge AM:PM Session IPA;Thornbridge Brewery;IPA (India Pale Ale) Beer;0.33;4.5;England;3.16;AM:PM is a sessinoable IPA from the Thornbridge Brewery, packed with fresh tropical fruit flavours.
DeuS Brut des Flandres Cuvée Prestige 2015;Brouwerij Bosteels;Blonde Beer;0.75;11.5;Belgium;;Brewed at Bosteels, Belgium and then sent to Champagne to be treated like a fine sparkling wine, this is truly a beer for special occasions!
Lowlander White Ale;Lowlander;Wheat / Wit / White Beer;0.33;5.0;Netherlands;2.64;A Dutch wheat beer here from the Lowlander range, which is inspired by the botanicals brought to the Netherlands over the years.
Lowlander IPA;Lowlander;IPA (India Pale Ale) Beer;0.33;6.0;Netherlands;2.82;The lowlander range takes its inspiration from all of the wonderful herbs, spices, fruit and other deliciousness which has been transported to the Netherlands over the years.
Lowlander Poorter;Lowlander;Porter Beer;0.33;6.0;Netherlands;2.82;Lowlander Poorter is a delicious treat from the Dutch range, brewed with vanilla and liquorice.
Whitstable Kentish Lager;Whitstable Brewery;Lager / Pilsner Beer;0.5;4.1;England;3.38;A refreshing lager from the Maidstone-based Whitstable Brewery, made with Saaz hops. Enjoy well-chilled on a warm evening.
And Union Unfiltered Lager;And Union;Lager / Pilsner Beer;0.5;5.0;Germany;;A creamy, refreshing unfiltered lager or (UNFLT LAGER as the label calls it) from And Union. Very tasty and goes well with spicy foods.
And Union Neu Blk;And Union;Lager / Pilsner Beer;0.5;5.0;Germany;;An unfiltered dark lager from the And Union brewers, with generous helpings of roasted malt goodness.
And Union Steph Weiss;And Union;Wheat / Wit / White Beer;0.5;5.0;Germany;;The Steph Weiss from And Union is a Bavarian-styled wheat beer, brimming with vanilla and clove notes alongside juicy lemon sweetness. Excellent summer sipping.
And Union Summer Wheat Ale;And Union;Wheat / Wit / White Beer;0.5;5.5;Germany;;When it comes to summer beers, you can't go wrong with a cold, refreshing wheat beer, and the folks from And Union know this very well indeed, judging by their excellent Summer Wheat Ale!
And Union Friday IPA;And Union;IPA (India Pale Ale) Beer;0.5;6.5;Germany;;Would you look at this - it's Friday IPA (sung to the tune of that Cure song). Delicious Well-hopped beer from And Union.
And Union Der Graf von Bayern;And Union;Low-Alcohol Beer;0.5;0.0;Germany;;A low alcohol Bavarian wheat beer here from And Union - they set out to make a low alcohol beer which maintains its aroma, body and flavour, and they've certainly done well here.
And Union Sunday Pale Ale;And Union;Pale Ale Beer;0.5;5.5;Germany;;Because I'm easy... Easy like Sunday Easy Pale Ale from And Union, made with a combination of Hallertau Aroma and American hops... Or however that song goes.
And Union Beast of the Deep;And Union;Lager / Pilsner Beer;0.5;6.5;Germany;;Beast of the Deep is a tasty unfiltered Imperial Lager from And Union, made with Hallertau Aroma hops.
BrewDog Elvis Juice V2.0 IPA;BrewDog;IPA (India Pale Ale) Beer;0.33;6.5;Scotland;;V2.0 sees BrewDog work to incorporate those additional citrus fruit flavours to already citrusy IPA without this time dramatically altering the pH.
Alnwick IPA;Alnwick Brewery;IPA (India Pale Ale) Beer;0.5;4.5;England;3.42;A traditionally styled IPA from the Alnwick Brewery, which was relaunched in 2007 after 50 years of absence and is based on the recipe produced all the way back then.
Alnwick Brown Ale;Alnwick Brewery;Dark Ale Beer;0.5;4.7;England;3.42;A classic Tyne and Wear brown ale given a fuller body by the chaps at Alnwick Brewery.
Alnwick Gold;Alnwick Brewery;Pale Ale Beer;0.5;4.2;England;;A creamy golden ale from the Alnwick Brewery made with Maris Otter malts and First Gold hops - excellent summer afternoon drinking.
Lindisfarne Holy Island Bitter;Lindisfarne;Bitter Beer;0.5;3.8;England;3.42;An aptly named bitter from the Holy Island of Lindisfarne, about a mile off the coast of Northumberland.
Beavertown Bloody 'Ell Blood Orange IPA;Beavertown;IPA (India Pale Ale) Beer;0.33;7.2;England;;Beavertown's Bloody 'Ell is a fantastic IPA which has been loaded up with masses of citrus-y hops and blood orange.
BrewDog Born To Die 18.08.2016;BrewDog;IPA (India Pale Ale) Beer;0.66;8.5;Scotland;;Channelling Greg Koch's Stone Enjoy by... series, BrewDog present a terminally super dry hopped (even more so than their usual beers) 8.5% abv short-lifespan IPA!
BrewDog Monk Hammer;BrewDog;IPA (India Pale Ale) Beer;0.33;7.2;Scotland;;BrewDog's Monk Hammer is very similar to their excellent Jack Hammer IPA, though this time they've put a bit of a spin on it by fermenting the Monk Hammer with Belgian yeast!
BrewDog Shipwreck;BrewDog;Cask-Aged Beer;0.33;13.8;Scotland;10.2;BrewDog's Ship Wreck is very much like a cross between a beer and a mezcal - it's a strong ale which has been brewed using smoked malt, as well as smoked agave syrup!
Magic Rock Inhaler;Magic Rock Brewing;Pale Ale Beer;0.33;4.5;England;2.75;Magic Rock's Inhaler is packed with oodles of hops, including Citra, Simcoe, Mosaic, Equinox, Galaxy and Amarillo. They call it a 'Juicy Pale Ale', and that's a very fitting name indeed for this brew.
Moor Beer Company Hoppiness;Moor Beer Company;IPA (India Pale Ale) Beer;0.33;6.5;England;3.2;A flavoursome IPA from the south-west-based Moor Beer Co., packing a hearty wallop of hoppy goodness alongside full-bodied, fruity malts.
Weird Beard Five O'Clock Shadow;Weird Beard Brew Company;APA (American Pale Ale) Beer;0.33;7.0;England;2.8;Five O'Clock Shadow is an American-styled IPA from the Weird Beard Brew Co., combining a bundle of pungent hops with crisp malt notes.
Weird Beard Mariana Trench;Weird Beard Brew Company;APA (American Pale Ale) Beer;0.33;5.3;England;2.6;By combining American Citra hops with Pacific Gem hops from New Zealand, the Weird Beard Brew Co.
Drake's Brewing Co. Jolly Rodger 2013;Drake's Brewing Company;Dark Ale Beer;0.65;11.5;United States;11.75;The Jolly Rodger is a yearly release from Drake's Brewing Co. in California - each year the recipe changes, with the 2013 edition being a well-hopped black ale.
Evil Twin Calypso;Evil Twin Brewing;Lager / Pilsner Beer;0.65;8.0;United States;10.26;This is Evil Twin's Calypso, which boasts a mouthful of a description - it's a Single Hop Imperial India Pale American Wheat Lager! Phew.
Hawkshead NZPA;Hawkshead Brewery;Pale Ale Beer;0.33;6.0;England;;A taste of New Zealand via Cumbria - it's the Hawkshead Brewery's NZPA (or New Zealand Pale Ale).
Northern Monk Northern Star;Northern Monk Brew Co.;Porter Beer;0.33;5.9;England;2.38;Massively rich and flavoursome Mocha Porter from Northern Monk, made in collaboration with the North Star Coffee Roasters in Leeds.
Dark Star APA;Dark Star;APA (American Pale Ale) Beer;0.33;4.7;England;2.46;Dark Star APA Can uses a yeast strain specially imported from the USA, Maris Otter malt to provide a light colour and dryness, and Cascade, Centennial and Chinook hops for an American pale ale with
Dark Star Revelation;Dark Star;APA (American Pale Ale) Beer;0.33;5.7;England;2.46;Dark Star Revelation is an American-style pale ale that goes heavy on the hops.
Magic Rock High Wire ;Magic Rock Brewing;Pale Ale Beer;0.33;5.5;England;3.11;A tribute to the Pale Ales of America's west coast from Huddersfield's Magic Rock Brewing, made with six varieties of hop resulting in massive fresh fruit flavours.
Wild Beer Sleeping Lemons Export;The Wild Beer Co;Gose Beer;0.75;6.0;England;;A higher ABV variation on the Wild Beer Co.'s Sleeping Lemons Gose, made with lemons preserved in salt and lemon juice!
Thornbridge Bear State;Thornbridge Brewery;IPA (India Pale Ale) Beer;0.33;7.0;England;2.79;West Coast-style IPA from Derbyshire's Thornbridge Brewery, brewed with a generous helping of wonderful hops.
Thornbridge Chiron;Thornbridge Brewery;APA (American Pale Ale) Beer;0.33;5.0;England;2.7;Thornbridge Brewery have attempted to brew a well-balanced pale ale of sophistication and complexity, which explains the slightly curious name.
Van Bulck Organic Blonde Beer;Van Bulck;Wheat / Wit / White Beer;0.33;4.6;Belgium;;An unfiltered organic Belgian beer brewed at D’Proef with barley, wheat and spelt as well as orange peel and coriander.
