drzava;opis;regija;barva;cena;stopnja_alkohola;ime;vrsta;slika;vonj;velikost;okus
Italy;Luminous ruby color. Forest berries, spices, leather, moist earth and dried plum, layered in the aroma. Soft, round taste, well-balanced acidity and clean and persistent aftertaste. Very pleasing, and ready to drink.;Tuscany;Red;8.99;13.5;2015 Coltibuono Chianti Classico Rs;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104525/bottle/757113/original.png;asparagus,   green pepper and   red fruit;0.375;red fruit,   strawberry and   raspberry
United States;Floral, lemon, green apple, subtle oak and spice aromas. Lemon drop, white stone fruit, yellow plum and honeydew melon flavors. Richly textured and concentrated, with balanced acidity that drives a lingering finish.;California;White;17.0;13.5;2016 La Crema Chardonnay;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/104528/bottle/754615/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
United States;Tomasello Blueberry Moscato is a blend of 100% Blueberry wine and Moscato. This blend combines the fruity and delicate character of Outer Coastal Plain Blueberries with the spicy perfume of Moscato. So easy to drink character with a hint of sparkle. Great serve chilled and garnished with frozen Blueberries. ;New Jersey;Mixed;7.98;6.5; Tomasello Blueberry Moscato;Muscat;https://dsi2vjvztwiuk.cloudfront.net/website/products/104537/bottle/754938/original.png;grapey,   coriander,   peach and   orange;0.75;pineapple,   coriander,   peach,   orange and   grapey
Italy;Dry and mellow wine, with a bright red colour, fresh and fruity bouquet with a hint of violet and red berries and a trace of leather. ;Molise;Red;7.98;13.0;2016 Di Majo Norante Sangiovese Igt;Sangiovese;https://dsi2vjvztwiuk.cloudfront.net/website/products/104538/bottle/754669/original.png;asparagus,   green pepper and   red fruit;0.75;red fruit,   strawberry and   raspberry
Argentina;Proemio Wines are unique due to the personality we transmit to them. We look for grape concentration avoiding over-extraction looking for elegance of aromas, tannins and poly-phenols. All these processes aim at giving excellent volume, body and structure. Outstanding vineyards, passionate people, experience and friendship come together in the creation of our wines. Finally, aging is carried out in the finest French oak accompanied by a long bottling period.;Mendoza;Red;14.99;14.0;2015 Proemio Reserve Cabernet Sauvignon;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/104541/bottle/754651/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
Italy;"Intense ruby red in color. An ample and complex bouquet, with distinct notes of flowers, fresh fruit and spices. The palate is vigorous and vibrant, and a lovely acidic vein fused with much flavor make this and ample and balanced wine. Elegant and soft tannins. The finish and aftertaste are persistent and lingering. A true and authentic expression of Sangiovese."" - Winery";Tuscany;Red;19.99;13.5;2015 Bindi Sergardi Chianti Classico La Ghirlanda;Sangiovese;https://dsi2vjvztwiuk.cloudfront.net/website/products/104543/bottle/754805/original.png;asparagus,   green pepper and   red fruit;0.75;red fruit,   strawberry and   raspberry
New Zealand;Displays a complex nose with aromas of tropical fruit, herbaceous notes and a hint of cassis.The natural fermentation adds a rich and textural quality to the palate, with subtle notes of lemon zest and passion fruit. The finish is crisp and dry. Delicious with all types of seafood and summer salads, or enjoy by itself as a refreshing aperitif. ;South Island;White;11.23;;2016 Momo Sauvignon Blanc;Sauvignon Blanc;https://dsi2vjvztwiuk.cloudfront.net/website/products/104548/bottle/754776/original.png;apple,   pear,   kiwi,   citrus,   stone,   grapefruit and   melon;0.75;grass,   gooseberry,   grapefruit,   lime,   melon,   citrus,   mineral and   flint
France;Zinck is run by Philippe and his wife, Pascale. The estate consists of 56 acres of vineyards that are being farmed organically, most of which are located in Eguisheim. Each vine is tended by hand and is harvested by hand. This is done to increase and insure the highest quality is attained, and the true character of the terroir is retained. The wines are fermented in temperature controlled stainless steel tanks for the preservation of fruit and to eliminate oxidation. -- Importer;Alsace;White;16.24;13.0;2016 Zinck Portrait Pinot Gris;Pinot Gris / Pinot Grigio;https://dsi2vjvztwiuk.cloudfront.net/website/products/104549/bottle/754772/original.png;floral,   butter,   cream,   almond and   citrus;0.75;lemon,   apple and   pear
France;The 2016 Côtes du Rhône Blanc delivers the goods, and the quality of this cuvée has been incredible over the past few years. Made from 60% Viognier, 15% Roussanne and the rest Marsanne, Clairette, Bourboulenc and Grenache Blanc, it gives up tons of Viognier character in its white flowers, peach, and pineapple aromas and flavors. Drink this medium-bodied, beautifully balanced, elegant white over the coming year or two. It tastes like a Condrieu but costs about one-third the price.;Rhone;White;12.75;13.5;2016 Guigal Cotes Du Rhone Blanc;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104552/bottle/755002/original.png;"orange blossom,   acacia,   violet,   anise,   mint,   herb
,   tea
,   wild flower
,   apple,   nut,   citrus,   golden apple,   lemon,   apricot,   acidic,   mineral,   spice,   honey,   peach,   floral,   banana,   slate and   almond";0.75;"honey,   orange,   mango,   kiwi,   tangerine,   herbal tea
,   wild flower
,   almond
,   apple
,   pear
,   crisp acid,   wax,   almond,   citrus,   tea,   apple,   lemon,   honeysuckle,   spice,   floral,   mineral,   peach,   apricot,   banana and   pear"
Portugal;Raisiny and very sweet, with plum and prune aromas and flavors. Medium- to full-bodied, with a slightly hot finish, but should come around nicely. '91/'92 Port retrospective. Drink now through 2014. 6,000 cases made.;Port;Red;105.98;20.0;1991 Warre;Port Varieties;https://dsi2vjvztwiuk.cloudfront.net/website/products/104557/bottle/755583/original.png;cocoa,   honey,   vanilla,   butterscotch and   dark fruit;0.75;cocoa,   honey,   vanilla,   butterscotch and   dark fruit
Hungary;"A subtle, full-bodied wine from the Eger Hills of northern Hungary, a wine whose origin goes back to the 17th Century. The wine is matured in oak barrels, stored in the labyrinth of tunnels cut into the hills that border the town of Eger. Open at least one hour before drinking and serve at room, temperature."" -- Winery";Hungary;Red;7.97;12.0;2015 Egri Bikaver (Bull;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104558/bottle/754717/original.png;dark ripe cherry,   dark berry,   blueberry,   spice,   currant,   blackberry,   cherry,   cedar,   cigar box,   violet,   rose,   truffle,   earth,   coffee,   leather,   exotic spice,   cinnamon and   sour cherry;0.75;dark ripe cherry,   dark berry,   blueberry,   spice,   currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   ginger,   oak,   vanilla,   black cherry,   plum,   smoke,   toast,   tar,   cinnamon,   red berry and   sour cherry
Chile;"Ruby red color, plum and cherry-scented nose with hints of caramel, chocolate, tobacco and black olives. Well-structured mouthfeel, good volume, pleasant tannins; a wine with a forward personality";Central Valley;Red;9.01;14.0;2016 Los Vascos Cabernet Sauvignon;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/104577/bottle/754619/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
United States;Our Napa Valley Cabernet Sauvignon delivers the highest quality from our premier Napa Valley vineyards. After destemming, the grapes were transferred to upright tanks for a two- to three-day cold soak. The must was pumped over up to three times a day, with some delestage for the Petite Sirah and Petit Verdot lots to soften tannins. We tasted each lot daily to determine the optimal drainage time, which ultimately led to some extended maceration for the Cabernet. Each lot was evaluated separately as it aged for 18 months in a combination of French and American oak barrels (30% new, 70% used) with medium to heavy toast levels.;California;Red;32.02;15.5;2014 Louis Martini Napa Cabernet Sauvignon;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/104580/bottle/754716/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
France;Pleasant, jolly, and not in the least hard or heavy,  the ideal wine for  vegetarian food, warm asparagus or shellfish in cream, or any tasty starters, and indeed for a delicious käsekuchenThe juice is extracted with infinite care in our air-bag press. The slow, gentle pressing avoids crushing the stalks and pips.The must starts fermenting of its own accord thanks to the natural yeast present in the juice, and the fermentation generally lasts from 4 to 10 weeks. It is carried out in stainless-steel vats equipped with temperature control, a medium which maximises the expression of this variety's aromas. Color:  apple yellow.Nose: apricot, brioche and a little  touch of  lemon juice.Taste: pleasant acidity, apricot, honeysuckle, mineral,  then a nice long finish with mineral notes.Use: good match  with white meat and just for fun ...Drink now, for fun,Aging potential: : 5 years with a first optimum: end 2019.This wine is young, it is salivating. Beautiful  Wine with  immediate pleasure and conviviality.;Alsace;White;11.69;12.5;2016 Paul Blanck Pinot Blanc D;Pinot Bianco / Pinot Blanc;https://dsi2vjvztwiuk.cloudfront.net/website/products/104581/bottle/754921/original.png;apple,   lemon,   honeysuckle,   spice and   floral;0.75;apple,   lemon,   citrus,   apricot and   acidic
France;Gérard Bertrand, owner of several notable wine-growing estates in the South of France, is a passionate advocate of the Mediterranean art of living. The Grands Terroirs range gives wine-lovers the opportunity to discover the unique character of this region. Tautavel is a village in the Roussillon region, ideally located between the Pyrenees and the Mediterranean. Tautavel is steeped in history, recognised as one of the cradles of human civilisation. The vineyards are planted on pebbly soils, on limestone-rich terraces and south-east facing hillsides. ;Roussillon;Red;11.98;14.5;2015 Gerard Bertrand Tautavel;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104584/bottle/754966/original.png;vanilla,   toast,   smoke,   tobacco,   dark fruit,   red fruit,   spice box,   cedar,   violet,   rose petal,   oak and   mushroom;0.75;black currant,   blackberry,   dust,   leather,   currant,   blueberry,   strawberry,   cherry,   raspberry,   licorice and   anise
Portugal;Incredible value from Alentejano that is a full bodied wine with bright acidity. 50% Aragonez, 30% Alicante Boushete and 20% Trincadeira. ;Portugal;Red;5.99;13.0;2016 Monte Da Vaqueira Tinto Vinho;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104585/bottle/754760/original.png;"berry
,   cherry
,   plum
,   earth
,   leather
,   herb,   dark berry,   black cherry,   plum,   blackberry,   cassis and   cinnamon ";0.75;"berry
,   cherry
,   plum
,   earth
,   leather
,   herb,   dark ripe cherry,   dark berry,   blueberry,   spice,   blackberry,   cassis,   plum and   cinnamon "
United States;"Darker and more brooding with the essence of cassis. Tight and coiled as we would hope at this “baby” stage. Great expansion of fruit on the attack shows its potential. Sweet and substantial tannins build early and help define this young cabernet sauvignon. An absolutely refined and classic Desafio. We can’t wait to watch this wine grow.""  Matt Dees, Winemaker ";California;Red;119.99;14.1;2014 Jonata El Desafio Cabernet Sauvignon;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104588/bottle/757540/original.png;currant,   blackberry,   cherry,   cedar,   cigar box,   violet,   rose,   truffle,   earth,   coffee,   leather,   mocha,   vanilla,   tobacco,   broccoli,   berry and   flower;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak,   vanilla,   black cherry,   plum,   smoke,   toast,   tar,   lead,   cedar,   molasses,   dark fruit,   tobacco,   raspberry,   cassis,   violet,   pepper and   green bean
United States;"A polished and perfumed Sangre in the same family as our favorite vintages: 2006, 2008 and 2010. While it certainly doesn’t lack power, it wows with its silky fruit and seductive structure. Just open enough to enjoy today and endowed with the muscle to last a decade, this Sangre showcases the maturing syrah vines at Jonata. It seems to gain momentum with every new vintage. Certainly no shrinking violet…more of a rose about to bloom."" Matt Dees, Winemaker";California;Red;119.99;14.5;2014 Jonata La Sangre Syrah;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104589/front/754626/original.png;spice box,   cedar,   dark fruit,   orange blossom,   acacia,   violet,   anise and   mint;0.75;currant,   blueberry,   blackberry,   strawberry,   honey,   orange,   mango,   kiwi and   tangerine
United States;The 2014 Cabernet Sauvignon is super-refined, polished and articulate, with mid-weight structure and fine overall balance. Readers should expect a somewhat laid-back wine by Dalla Valle's standards. In 2014, the Cabernet Sauvignon is especially aromatic and nuanced. It should drink well with minimal cellaring.;California;Red;199.99;14.2;2014 Dalla Valle Cabernet Sauvignon;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/104595/bottle/757544/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
United States;"Lingua Franca was inspired by an extraordinary vineyard site in the Eola-Amity Hills of the Willamette Valley. Our name represents a fine tradition of universal language, bringing people of different worlds to common ground – shared conversation, shared enjoyment.<BR><BR>The fruit for this cuvée comes from one of the oldest vineyards in Oregon, with rocky, Jory soil. After 14 months in barrel, it has been tamed, showing medium weight, with red and black fruit and some crystallized preserve notes. The finished wine is round, smooth and gamey, with plum dumpling and spice flavors and dark undercurrents of smoke, tar, flint and roasted meat."" -Winery";Oregon;Red;59.97;13.5;2015 Lingua Franca Pinot Noir ;Pinot Noir;https://dsi2vjvztwiuk.cloudfront.net/website/products/104598/bottle/754670/original.png;barnyard,   cherry,   plum,   game and   tomato;0.75;ripe cherry,   plum,   strawberry,   raspberry and   mushroom
New Zealand;This clean and crisp Sauvignon Blanc is bright and fresh with great acidity and a long, refreshing finish.  A bit fuller in style than you might expect for the price point.  An outstanding effort to buy any month of the year!!;South Island;White;16.99;12.5;2015 Rimapere Sauvignon Blanc;Sauvignon Blanc;https://dsi2vjvztwiuk.cloudfront.net/website/products/104600/bottle/756719/original.png;apple,   pear,   kiwi,   citrus,   stone,   grapefruit and   melon;0.75;grass,   gooseberry,   grapefruit,   lime,   melon,   citrus,   mineral and   flint
South Africa;A singed hazelnut note weaves around a core of creamed yellow apple and melon flavors and then extends through the finish, giving this a suave, flattering feel. Why people like Chardonnay. Drink now. 1,800 cases made. -JM;Coastal Region;White;17.98;14.0;2016 Buitenverwachting Bayten Chardonnay;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/104602/bottle/755689/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
France;The Cuvée Classique blend combines grapes from the estate’s different terroirs. In the area known as ‘Le Petit Moulin de la Cadière’, named after its windmill, the vines grow on south-facing terraces stretching out over hilly terrain. The soil in this part of the vineyard is characterised by the presence of fossilised seashells (85 million year old bivalve molluscs). Clay is found to varying depths throughout the estate’s soil and, although the clay is quite dense, alluvial layers comprised of silt-sand sediment deposits are also present. One might think these looser layers in the soil would have little influence on the wine, but in fact they provide excellent drainage which helps to produce very refined wines.;Provence;Red;39.99;14.0;2015 Domaine Tempier Bandol Rouge;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104622/bottle/757299/original.png;"thyme
,   clove
,   cinnamon
,   black pepper
,   mint,   vanilla,   toast,   smoke,   tobacco,   dark fruit,   red fruit,   game,   tar,   dust,   violet,   rose petal,   oak and   mushroom";0.75;"blackberry
,   violet
,   oak
,   smoke
,   toast
,   vanilla,   black currant,   blackberry,   dust,   leather,   strawberry,   musk,   cherry,   raspberry,   licorice and   anise"
France;The La Migoua vineyard is on the outskirts of the village of Le Beausset, perched on the southern face of the Le Beausset-Vieux hill range on a chalk and clay terroir. Strata of 200 million year old Muschelkalk can be found here. The soil structure varies throughout the vineyard from stony to various colours of clay ranging from red to ochre to almost blue in some places. The terroir is in the form of a natural amphitheatre with an average altitude of 270m above sea level. Cuvée La Migoua is comprised of 50 to 65 % Mourvedre depending on the year. A significant amount of Cinsault is also grown in this vineyard, particularly on the south-facing hillside known as 'La Louffe'. With a tendancy towards more animal notes than the estate’s other cuvées,La Migoua expresses great complexity. It is a wine with a delicate nose, excellent balance and a long ageing potential.;Provence;Red;57.99;14.0;2015 Domaine Tempier Bandol Migoua;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104624/bottle/757296/original.png;"thyme
,   clove
,   cinnamon
,   black pepper
,   mint,   vanilla,   toast,   smoke,   tobacco,   dark fruit,   red fruit,   game,   tar,   dust,   spice box and   cedar";0.75;"blackberry
,   violet
,   oak
,   smoke
,   toast
,   vanilla,   black currant,   blackberry,   dust,   leather,   strawberry,   musk,   currant and   blueberry"
France;This wine is made from grapes grown on a terroir near the village of Le Castellet. The vineyard sits high up on the hillside, on average 170m above sea level, and has relatively homogenous soil comprised of chalk and clay on top of 100 million year old rock. The Mourvedre vines flourish on this terroir producing excellent wines that are powerful, tannic and fruity. La Tourtine comprises 70–80% Mourvedre depending on the year. Frequently windswept by the mistral, this vineyard is particularly well exposed, resulting in a wine with long ageing potential that retains its red berry and spice aromas even after 10 to 15 years.;Provence;Red;57.99;15.0;2015 Domaine Tempier Bandol La Tourtine;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104625/bottle/757298/original.png;"thyme
,   clove
,   cinnamon
,   black pepper
,   mint,   vanilla,   toast,   smoke,   tobacco,   dark fruit,   red fruit,   game,   tar and   dust";0.75;"blackberry
,   violet
,   oak
,   smoke
,   toast
,   vanilla,   black currant,   blackberry,   dust,   leather,   strawberry and   musk"
Portugal;The 1985 Colheita Tawny Port Dalva comes in with 129 grams per liter of residual sugar. This adds a layer or two of depth to the 1994 Colheita reviewed. It is pretty fine. The texture is richer, a bit unctuous, and the finish lingers beautifully. Dribbling waves of caramel and a hint of molasses over the palate, this quickly becomes irresistible. It is nicely balanced, too, easy to drink.;Port;Red;68.98;20.0;1985 Dalva 1985 Port Colheita;Port Varieties;https://dsi2vjvztwiuk.cloudfront.net/website/products/104629/bottle/754762/original.png;cocoa,   honey,   vanilla,   butterscotch and   dark fruit;0.75;cocoa,   honey,   vanilla,   butterscotch and   dark fruit
France;"Clicquot&rsquo;s signature brut non-vintage is loved the world over for its crisp, full flavors, consistent quality and celebratory yellow label. This classically-styled, dry Champagne is a blend of two-thirds black grapes (Pinot Noir and Pinot Meunier) for body, balanced with one-third Chardonnay for elegance. It has a fine persistent sparkle and golden Champagne color. Its complex nose of apple, citrus and caramel is followed by full flavors with elegance, crispness and a slightly spicy finish."" - Cliquot.com";Champagne;White;26.49;12.0; Veuve Clicquot Brut;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/10464/bottle/747217/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream,   vanilla,   barnyard,   cherry,   plum,   game,   tomato and   flower;0.375;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream,   vanilla,   ripe cherry,   plum,   strawberry,   raspberry,   mushroom and   flower
United States;"Opening with alluring aromas of cassis, blackberry, dark chocolate and a touch of black tea, our 2014 Cabernet Sauvignon entices the senses. Sumptuous flavors of juicy cherry, raspberry and caramelized oak are harmonious and well-balanced with a hint of minerality. Sweet tannins, complex flavors and a long, luxurious finish make this an immensely enjoyable wine."" - Winery";California;Red;62.99;15.0;2014 Lve Napa Cabernet Sauvignon;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104644/bottle/755349/original.png;currant,   blackberry,   cherry,   cedar,   cigar box,   mocha,   leather,   vanilla and   tobacco;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak,   vanilla,   lead,   cedar,   molasses and   dark fruit
United States;The 2015 Chardonnay Sanford & Benedict is the most precise of the three Chardonnays I tasted from Gavin Chanin. White pear, baked apple, spice and white flowers give the wine its characteristic aromatic lift and flavor intensity. Medium in body and gracious, it is simply impeccable. ;California;White;44.99;13.0;2015 Chanin Chardonnay Sanford ;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/104654/bottle/754774/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
France;organic farming, cultivation, harvest,  same  proceedings  as  for  a  Châteauneuf  du Pape wine: manual harvesting with sorting out of  the  grapes,  destemming,  crushing  and  cold  pre-fermentation   maceration.   During   alcoholic   fermentation, we closely monitor the temperature of  the  mix,  and  pump  it  over  daily.  Maceration  lasts between two and three weeks. Once malo-lactic fermentation is over, ageing takes place in a concrete tank. Ten months later the wine is bott-led.;Rhone;Red;16.97;14.5;2016 Domaine De Marcoux Cotes Du Rhone;Grenache / Garnacha;https://dsi2vjvztwiuk.cloudfront.net/website/products/104655/bottle/754910/original.png;vanilla,   toast,   smoke,   tobacco,   dark fruit and   red fruit;0.75;black currant,   blackberry,   dust and   leather
United States;Bodan Roan's winemaking style is one of little intervention. Very little new oak is used to allow the fruit and varietal characteristics of the wines to shine through. The 2016 Pinot Noir is a clean, bright wine that will pair beautifully with a wide variety of foods.;California;Red;8.99;13.5;2016 Bodan Roan Pinot Noir;Pinot Noir;https://dsi2vjvztwiuk.cloudfront.net/website/products/104667/bottle/754859/original.png;barnyard,   cherry,   plum,   game and   tomato;0.75;ripe cherry,   plum,   strawberry,   raspberry and   mushroom
France;Vines:;Bordeaux;White;14.98;13.5;2016 Chateau Guiraud ;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104677/bottle/754770/original.png;apple,   pear,   kiwi,   citrus,   stone,   grapefruit,   melon,   apricot,   quince,   honey,   pineapple and   cream;0.75;grass,   gooseberry,   grapefruit,   lime,   melon,   citrus,   mineral,   flint,   fig,   lemon,   pear,   saffron and   bell pepper
United States;"Complex and nuanced flavors, with warm currant, wild berries and plum, mixed with spice and cedar. Long luxurious finish."" - Distributor";California;Red;29.97;14.0;2015 Baron Herzog Special Reserve Alexander Valley Cabernet Sauvignon;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/104680/bottle/755588/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
France;From one of the more structured of the cru villages, this wine is full of tannins as well as black-cherry fruit. It is dense from the concentration of old vines as well as the rich fruitiness and acidity of the vintage. This ripe wine will be ready to drink from late 2018.;Beaujolais;Red;16.99;13.5;2016 Domaine Des Chers Julienas Beaujolais;Gamay;https://dsi2vjvztwiuk.cloudfront.net/website/products/104681/bottle/756395/original.png;violet,   rose petal,   oak,   smoke and   mushroom;0.75;cherry,   strawberry and   raspberry
France;Domaine Jean-Louis Chave is a family owned winery. It has been passed from father to son since 1481. The Domaine is currently under the direction of Jean-Louis Chave, though his father, Gérard, is still around the domaine for occasional advice.When phylloxera hit in the 19th century, the family was obliged to move down to the Rhône valley to diversify into fruit farming, basing themselves in the village of Mauves where the cellars are today. It was at this time that a particularly smart ancestor decided to cross the Rhône river and lay claim to parcels of land on the hill of Hermitage.The vineyards used for Offerus are located in two distinct St. Joseph areas. The communities of Mauves, Tournon, and St. Jean de Muzols yields most of the blend. These southern vineyard sites express tightly wound tannins, spice, and power. They add structure and depth to complete the harmony of Offerus. 80% of this southern fruit comes from one of their own vineyards called Les Clos Florentin, which Jean Louis bought in 2009. These are old vines that were only worked by hand or by horse and grown biodynamically on granite. The remainder of the vineyards are located further north in communities around Serrieres. This soil produces wines which are more elegant, with incredible purity, definition, and focus.The wine is fermented in large, wood, open top fermenters and then finished in old oak demi-muids (just like the Domaine St. Joseph).;Rhone;Red;28.99;14.5;2015 Jean Louis Chave Offerus St. Joseph;Syrah / Shiraz;https://dsi2vjvztwiuk.cloudfront.net/website/products/104685/bottle/754751/original.png;spice box,   cedar and   dark fruit;0.75;currant,   blueberry,   blackberry and   strawberry
France;'Tintot' is the local surname for Mourvedre, used by our grandfather Yves and by other winegrowers 70 years ago. The source of this wine is a parcel situated in Boislauzon.;Rhone;Red;99.88;13.5;2015 Mas De Boislauzon Tintot Chateauneuf Du Pape;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104686/bottle/754729/original.png;"thyme
,   clove
,   cinnamon
,   black pepper
,   mint,   vanilla,   toast,   smoke,   tobacco,   dark fruit and   red fruit";0.75;"blackberry
,   violet
,   oak
,   smoke
,   toast
,   vanilla,   black currant,   blackberry,   dust and   leather"
Austria;Pure and vibrant dark and red cherry notes create an irresistible nose. The palate displays the same, invitingly juicy fruit. This is supple, slender, fresh and plump, with a joyful, balanced ripeness. Its tannins are smooth and ripe, ready to enjoy.;Niederosterreich-Lower Austria;Red;16.98;13.0;2015 Nastl Zweigelt Merlot Klassik Cuvee;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104697/bottle/754822/original.png;exotic spice,   cinnamon,   sour cherry,   violet,   rose,   truffle,   earth,   coffee and   leather;0.75;spice,   cinnamon,   red berry,   sour cherry,   currant,   black cherry,   plum,   bell pepper,   olive,   oak,   smoke,   toast and   tar
France;To  get   to  the nittygritty:you   get  a lotof  Burgundian  style,class,depth, andcomplexityfor  a greatprice. -- Importer;Burgundy;Red;49.99;12.5;2014 Gachot Monot Cotes De Nuits Villages;Pinot Noir;https://dsi2vjvztwiuk.cloudfront.net/website/products/104700/bottle/754816/original.png;barnyard,   cherry,   plum,   game and   tomato;1.5;ripe cherry,   plum,   strawberry,   raspberry and   mushroom
Italy;Ceuso is the wine that bears the company name and the name of the area where the vineyards stand.;Sicily;Red;34.99;14.5;2011 Ceuso Ceuso;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104706/bottle/754808/original.png;berry,   cherry,   plum,   earth,   currant,   blackberry,   cedar,   cigar box,   violet,   rose,   truffle,   coffee and   leather;0.75;plum,   berry,   white pepper,   currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak,   vanilla,   black cherry,   smoke,   toast and   tar
Argentina;The Catena wines are a special assemblage of High Mountain Estate Vineyards made by fourth generation vintner, Laura Catena and chief winemaker, Alejandro Vigil. Although we have found that most of the Catena wines are consumed shortly after release, we are pleased to see that they age beautifully for ten to twenty years. Through decades of study and exploration within Mendoza's high altitude mountain terroirs, the Catena family has identified special locations for its Estate vineyards. From the marriage of these historic vineyards emerges a wine of unique character that has natural balance, concentration and a distinct varietal identity. This wine goes through an extensive cold maceration for 5 days at 48ºF (8,8ºC) to extract aromas. The juice is then fermented for 16 days with a post-fermentation maceration of 22 days. Wild Yeasts. Elevage: 12-14 months in barrel. Barrel selection varies depending on vineyard and vintage - First, second and third use barrels used.;Mendoza;Red;15.36;13.5;2015 Catena Malbec;Malbec;https://dsi2vjvztwiuk.cloudfront.net/website/products/104712/bottle/754828/original.png;spice,   earth,   currant and   cherry;0.75;pepper,   earth,   green,   plum,   mocha and   currant
Italy;"A very intense ruby red in color, the wine offers aromas rich in their concentration of red  and black fruit (cherries and black cherries, raspberries, cassis, blueberries, and wild berry fruit) which, together with notes of vanilla, black pepper, and liquorice, compose a bouquet which is decisively ample and complex. The palate is exceptionally elegant and balanced, fresh in its flavors and with much personality, solid and silky in its texture and tannins. The finish, characterized by notes of fruit and spices, is of great finesse and persistence."" - Winery";Tuscany;Red;204.99;13.5;2014 Antinori Solaia;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/104713/bottle/755619/original.png;currant,   blackberry,   cherry,   cedar,   cigar box,   asparagus,   green pepper,   red fruit,   tobacco,   broccoli,   berry and   flower;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak,   vanilla,   red fruit,   strawberry,   raspberry,   tobacco,   cassis,   violet,   pepper and   green bean
